id,kode_provinsi,nama_provinsi,indeks_daya_saing_digital,satuan,tahun
125,64,KALIMANTAN TIMUR,45.4,POIN,2023
126,65,KALIMANTAN UTARA,38.0,POIN,2023
127,71,SULAWESI UTARA,39.5,POIN,2023
128,72,SULAWESI TENGAH,32.3,POIN,2023
129,73,SULAWESI SELATAN,42.9,POIN,2023
130,74,SULAWESI TENGGARA,35.7,POIN,2023
131,75,GORONTALO,35.3,POIN,2023
132,76,SULAWESI BARAT,29.0,POIN,2023
133,81,MALUKU,39.4,POIN,2023
134,82,MALUKU UTARA,33.8,POIN,2023
135,91,PAPUA BARAT,35.8,POIN,2023
136,94,PAPUA,31.9,POIN,2023
137,11,ACEH,36.3,POIN,2024
138,12,SUMATERA UTARA,46.0,POIN,2024
139,13,SUMATERA BARAT,42.0,POIN,2024
140,14,RIAU,38.7,POIN,2024
141,15,JAMBI,38.1,POIN,2024
142,16,SUMATERA SELATAN,36.4,POIN,2024
143,17,BENGKULU,38.5,POIN,2024
144,18,LAMPUNG,34.9,POIN,2024
145,19,KEPULAUAN BANGKA BELITUNG,38.2,POIN,2024
146,21,KEPULAUAN RIAU,47.8,POIN,2024
147,31,DKI JAKARTA,78.2,POIN,2024
148,32,JAWA BARAT,60.0,POIN,2024
149,33,JAWA TENGAH,45.7,POIN,2024
150,34,DI YOGYAKARTA,51.2,POIN,2024
151,35,JAWA TIMUR,52.3,POIN,2024
152,36,BANTEN,50.3,POIN,2024
153,51,BALI,49.9,POIN,2024
154,52,NUSA TENGGARA BARAT,35.5,POIN,2024
155,53,NUSA TENGGARA TIMUR,34.8,POIN,2024
156,61,KALIMANTAN BARAT,34.1,POIN,2024
157,62,KALIMANTAN TENGAH,35.5,POIN,2024
158,63,KALIMANTAN SELATAN,38.6,POIN,2024
159,64,KALIMANTAN TIMUR,46.8,POIN,2024
160,65,KALIMANTAN UTARA,39.1,POIN,2024
161,71,SULAWESI UTARA,38.5,POIN,2024
162,72,SULAWESI TENGAH,31.8,POIN,2024
163,73,SULAWESI SELATAN,43.0,POIN,2024
164,74,SULAWESI TENGGARA,37.8,POIN,2024
165,75,GORONTALO,38.1,POIN,2024
166,76,SULAWESI BARAT,30.3,POIN,2024
167,81,MALUKU,36.1,POIN,2024
168,82,MALUKU UTARA,31.1,POIN,2024
169,91,PAPUA BARAT,32.6,POIN,2024
170,92,PAPUA BARAT DAYA,31.8,POIN,2024
171,94,PAPUA,30.8,POIN,2024
172,95,PAPUA SELATAN,28.4,POIN,2024
173,96,PAPUA TENGAH,17.8,POIN,2024
174,97,PAPUA PEGUNUNGAN,17.8,POIN,2024
